#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2019-03-22, 13:21:38
# Real time (s): 666.250
# Live time (s): 666.000
#
# Total counts:  40601
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  2186
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
830	1669.879	4	0.00600601
831	1671.921	1	0.0015015
832	1673.963	3	0.0045045
833	1676.005	3	0.0045045
834	1678.047	1	0.0015015
835	1680.089	3	0.0045045
836	1682.132	3	0.0045045
837	1684.174	3	0.0045045
838	1686.216	2	0.003003
839	1688.258	2	0.003003
840	1690.300	4	0.00600601
841	1692.342	5	0.00750751
842	1694.385	0	0
843	1696.427	1	0.0015015
844	1698.469	0	0
845	1700.511	2	0.003003
846	1702.553	2	0.003003
847	1704.595	3	0.0045045
848	1706.638	3	0.0045045
849	1708.680	0	0
850	1710.722	3	0.0045045
851	1712.764	1	0.0015015
852	1714.806	2	0.003003
853	1716.848	3	0.0045045
854	1718.891	1	0.0015015
855	1720.933	4	0.00600601
856	1722.975	3	0.0045045
857	1725.017	1	0.0015015
858	1727.059	0	0
859	1729.101	2	0.003003
860	1731.144	1	0.0015015
861	1733.186	4	0.00600601
862	1735.228	1	0.0015015
863	1737.270	0	0
864	1739.312	3	0.0045045
865	1741.354	0	0
866	1743.397	2	0.003003
867	1745.439	2	0.003003
868	1747.481	0	0
869	1749.523	5	0.00750751
870	1751.565	1	0.0015015
871	1753.607	4	0.00600601
872	1755.650	0	0
873	1757.692	3	0.0045045
874	1759.734	2	0.003003
875	1761.776	0	0
876	1763.818	2	0.003003
877	1765.860	1	0.0015015
878	1767.903	1	0.0015015
879	1769.945	3	0.0045045
880	1771.987	1	0.0015015
881	1774.029	2	0.003003
882	1776.071	1	0.0015015
883	1778.113	2	0.003003
884	1780.156	0	0
885	1782.198	0	0
886	1784.240	0	0
887	1786.282	3	0.0045045
888	1788.324	2	0.003003
889	1790.366	3	0.0045045
890	1792.409	1	0.0015015
891	1794.451	2	0.003003
