#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2019-03-22, 13:40:17
# Real time (s): 307.960
# Live time (s): 300.000
#
# Total counts:  1222569
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  45919
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
824	1657.626	2332	7.77333
825	1659.668	2406	8.02
826	1661.710	2460	8.2
827	1663.752	2567	8.55667
828	1665.794	2637	8.79
829	1667.836	2707	9.02333
830	1669.879	2756	9.18667
831	1671.921	2884	9.61333
832	1673.963	2851	9.50333
833	1676.005	2936	9.78667
834	1678.047	3016	10.0533
835	1680.089	2906	9.68667
836	1682.132	2977	9.92333
837	1684.174	3039	10.13
838	1686.216	2949	9.83
839	1688.258	2829	9.43
840	1690.300	2840	9.46667
841	1692.342	2711	9.03667
842	1694.385	2699	8.99667
843	1696.427	2855	9.51667
844	1698.469	2665	8.88333
845	1700.511	2618	8.72667
846	1702.553	2466	8.22
847	1704.595	2408	8.02667
848	1706.638	2328	7.76
849	1708.680	2263	7.54333
850	1710.722	2126	7.08667
851	1712.764	2046	6.82
852	1714.806	2044	6.81333
853	1716.848	1919	6.39667
854	1718.891	1802	6.00667
855	1720.933	1632	5.44
856	1722.975	1613	5.37667
857	1725.017	1412	4.70667
858	1727.059	1391	4.63667
859	1729.101	1332	4.44
860	1731.144	1174	3.91333
861	1733.186	1100	3.66667
862	1735.228	1006	3.35333
863	1737.270	1008	3.36
864	1739.312	874	2.91333
865	1741.354	742	2.47333
866	1743.397	713	2.37667
867	1745.439	641	2.13667
868	1747.481	629	2.09667
869	1749.523	580	1.93333
870	1751.565	489	1.63
871	1753.607	450	1.5
872	1755.650	439	1.46333
873	1757.692	359	1.19667
874	1759.734	379	1.26333
875	1761.776	339	1.13
876	1763.818	306	1.02
877	1765.860	264	0.88
878	1767.903	248	0.826667
879	1769.945	222	0.74
880	1771.987	202	0.673333
881	1774.029	211	0.703333
882	1776.071	185	0.616667
883	1778.113	205	0.683333
884	1780.156	196	0.653333
885	1782.198	173	0.576667
886	1784.240	160	0.533333
887	1786.282	156	0.52
